,ticket_id,customer_id,agent_id,category,priority,created_at,first_response_at,resolved_at,status,escalated_flag,reopen_count
31,32,96,19,Billing,High,2024-07-25 12:58:35,2024-07-25 13:08:35,2024-07-25 14:20:35.000000,Closed,0,0
32,33,97,14,Technical,Medium,2024-02-29 20:02:58,2024-02-29 20:11:58,2024-03-01 05:43:10.000000,Closed,0,0
33,34,21,11,Feature,Medium,2024-06-19 01:29:17,2024-06-19 01:37:17,2024-06-19 05:56:29.000000,Closed,0,0
34,35,59,9,Bug,Low,2024-03-31 23:25:36,2024-03-31 23:42:36,2024-04-01 03:58:12.000000,Closed,0,0
35,36,27,18,Technical,Low,2024-10-18 01:58:31,2024-10-18 02:34:31,2024-10-18 03:04:31.000000,Closed,0,0
36,37,38,5,Billing,High,2024-11-28 02:04:12,2024-11-28 02:15:12,2024-11-28 04:14:00.000000,Open,0,1
37,38,120,1,Bug,Medium,2024-09-08 15:39:10,2024-09-08 15:59:10,2024-09-08 18:42:22.000000,Closed,0,0
38,39,95,9,Billing,Low,2024-04-12 01:07:22,2024-04-12 01:28:22,2024-04-12 06:52:58.000000,Closed,0,0
39,40,146,15,Technical,High,2024-08-16 14:54:15,2024-08-16 15:23:15,2024-08-16 17:34:03.000000,Closed,0,0
40,41,82,12,Technical,Medium,2024-08-31 00:42:51,2024-08-31 01:08:51,2024-08-31 06:46:03.000000,Closed,1,0
41,42,112,8,Technical,Low,2024-11-13 11:39:37,2024-11-13 11:54:37,2024-11-13 15:35:25.000000,Open,0,0
42,43,31,2,Account,Medium,2024-03-22 20:57:45,2024-03-22 21:45:45,2024-03-22 22:43:57.000000,Closed,1,1
43,44,80,10,Billing,Medium,2024-08-06 00:27:23,2024-08-06 00:41:23,2024-08-06 02:05:59.000000,Closed,0,0
44,45,139,5,Account,Medium,2024-05-11 02:44:29,2024-05-11 02:54:29,2024-05-11 07:24:29.000000,Closed,0,1
45,46,8,5,Technical,Medium,2024-06-17 18:59:07,2024-06-17 19:08:07,2024-06-18 03:18:19.000000,Closed,0,1
46,47,61,12,Technical,Medium,2024-09-06 11:03:23,2024-09-06 11:12:23,2024-09-06 15:32:11.000000,Closed,0,0
47,48,138,8,Feature,High,2024-03-26 07:02:04,2024-03-26 07:10:04,2024-03-26 09:29:16.000000,Closed,0,0
48,49,99,1,Feature,Low,2024-11-25 07:13:02,2024-11-25 07:26:02,2024-11-25 09:35:02.000000,Open,0,0
49,50,33,17,Technical,Low,2024-08-20 10:56:20,2024-08-20 11:08:20,2024-08-20 15:39:31.999999,Closed,0,0
50,51,119,4,Account,Low,2024-07-03 17:33:22,2024-07-03 17:41:22,2024-07-03 23:27:34.000000,Closed,0,0
51,52,63,14,Billing,Urgent,2024-03-16 12:04:15,2024-03-16 12:09:15,2024-03-16 14:11:02.999999,Closed,0,0
52,53,87,12,Technical,Low,2024-04-25 01:32:48,2024-04-25 01:51:48,2024-04-25 05:58:24.000000,Closed,0,0
53,54,43,18,Billing,Medium,2024-03-31 22:38:40,2024-03-31 22:51:40,2024-04-01 02:53:28.000000,Closed,0,2
54,55,31,2,Technical,Low,2024-12-06 02:56:55,2024-12-06 03:11:55,2024-12-06 09:06:31.000000,Open,0,0
55,56,126,1,Feature,High,2024-11-03 09:20:45,2024-11-03 09:27:45,2024-11-03 11:07:57.000000,Open,0,0
56,57,75,3,Bug,Medium,2024-05-16 00:11:20,2024-05-16 00:38:20,2024-05-16 06:51:32.000000,Closed,0,1
57,58,63,15,Billing,Low,2024-06-13 20:54:20,2024-06-13 21:16:20,2024-06-14 02:57:44.000000,Closed,0,0
58,59,90,10,Feature,Medium,2024-05-31 13:58:47,2024-05-31 14:12:47,2024-05-31 20:41:35.000000,Closed,0,0
59,60,29,10,Billing,Low,2024-02-11 19:04:12,2024-02-11 19:12:12,2024-02-12 01:00:12.000000,Closed,0,0
60,61,144,11,Technical,Medium,2024-01-27 13:11:50,2024-01-27 13:21:50,2024-01-27 19:17:02.000000,Closed,0,0
61,62,13,1,Billing,Low,2024-10-29 15:45:57,2024-10-29 16:25:57,2024-10-30 00:52:56.999999,Closed,0,0
62,63,131,10,Technical,Medium,2024-05-10 08:18:28,2024-05-10 08:30:28,2024-05-10 15:16:04.000000,Closed,0,0
63,64,60,17,Technical,High,2024-04-09 17:50:46,2024-04-09 17:53:46,2024-04-09 20:05:46.000000,Closed,0,0
64,65,19,16,Technical,Low,2024-08-28 07:02:36,2024-08-28 07:19:36,2024-08-28 12:19:36.000000,Closed,0,0
65,66,16,1,Bug,Medium,2024-03-16 19:47:03,2024-03-16 20:01:03,2024-03-17 01:18:27.000000,Closed,0,0
66,67,123,5,Technical,High,2024-03-16 11:47:30,2024-03-16 11:54:30,2024-03-16 14:00:30.000000,Closed,0,0
67,68,40,14,Technical,Low,2024-05-13 12:39:58,2024-05-13 12:47:58,2024-05-13 17:09:34.000000,Closed,0,0
68,69,103,1,Billing,High,2024-04-04 20:10:36,2024-04-04 20:19:36,2024-04-04 22:19:00.000000,Closed,1,0
69,70,110,11,Bug,High,2024-09-23 18:24:49,2024-09-23 18:33:49,2024-09-23 20:27:13.000000,Closed,0,0
70,71,147,8,Technical,Medium,2024-01-26 01:41:39,2024-01-26 01:55:39,2024-01-26 05:38:15.000000,Closed,0,2
71,72,30,3,Technical,High,2024-10-11 12:13:54,2024-10-11 12:24:54,2024-10-11 13:47:42.000000,Closed,0,0
72,73,125,19,Technical,High,2024-04-29 10:10:03,2024-04-29 10:24:03,2024-04-29 12:58:15.000000,Closed,0,0
73,74,46,19,Bug,Medium,2024-06-02 10:59:09,2024-06-02 11:23:09,2024-06-02 15:37:33.000000,Closed,0,0
74,75,93,3,Feature,Low,2024-09-22 02:55:51,2024-09-22 03:49:51,2024-09-22 04:19:51.000000,Closed,0,2
75,76,41,12,Feature,Medium,2024-06-24 21:12:51,2024-06-24 21:22:51,2024-06-25 03:13:51.000000,Closed,0,0
76,77,87,18,Billing,High,2024-09-23 08:09:48,2024-09-23 08:17:48,2024-09-23 10:53:12.000000,Closed,1,0
77,78,52,8,Bug,Medium,2024-05-24 23:00:35,2024-05-24 23:17:35,2024-05-25 05:27:11.000000,Closed,0,0
78,79,132,9,Feature,Low,2024-09-12 09:05:52,2024-09-12 09:18:52,2024-09-12 12:07:28.000000,Closed,0,0
79,80,100,9,Technical,Medium,2024-09-29 20:41:01,2024-09-29 20:53:01,2024-09-30 01:19:25.000000,Closed,0,0
80,81,88,7,Bug,High,2024-06-17 18:34:31,2024-06-17 18:41:31,2024-06-17 20:20:31.000000,Closed,0,0
81,82,63,17,Technical,Medium,2024-11-24 15:11:08,2024-11-24 15:30:08,2024-11-24 21:45:08.000000,Open,0,0
82,83,81,2,Technical,Medium,2024-02-12 14:00:16,2024-02-12 14:06:16,2024-02-12 17:33:52.000000,Closed,0,0
83,84,130,5,Technical,Medium,2024-04-26 03:47:35,2024-04-26 03:55:35,2024-04-26 06:30:23.000000,Closed,0,1
84,85,89,18,Technical,Low,2024-12-15 18:25:49,2024-12-15 18:42:49,2024-12-15 23:33:13.000000,Open,0,1
85,86,98,8,Technical,Medium,2024-07-06 10:21:38,2024-07-06 10:29:38,2024-07-06 16:33:14.000000,Closed,0,0
86,87,107,16,Bug,Medium,2024-08-05 01:53:03,2024-08-05 01:59:03,2024-08-05 02:56:39.000000,Closed,0,0
87,88,73,9,Bug,High,2024-02-07 05:51:11,2024-02-07 05:58:11,2024-02-07 08:10:11.000000,Closed,1,0
88,89,81,18,Billing,Medium,2024-10-19 21:54:10,2024-10-19 22:19:10,2024-10-20 01:22:10.000000,Closed,0,0
89,90,44,2,Technical,Low,2024-02-05 06:00:39,2024-02-05 06:19:39,2024-02-05 12:34:39.000000,Closed,0,0
90,91,38,1,Technical,Low,2024-11-15 18:55:36,2024-11-15 19:13:36,2024-11-15 21:02:12.000000,Open,0,0
91,92,66,11,Technical,High,2024-12-01 00:08:09,2024-12-01 00:17:09,2024-12-01 02:15:21.000000,Open,0,0
92,93,64,19,Technical,Low,2024-08-31 12:11:54,2024-08-31 12:30:54,2024-08-31 14:08:06.000000,Closed,1,0
93,94,13,3,Technical,Low,2024-04-29 21:05:24,2024-04-29 21:24:24,2024-04-30 05:34:00.000000,Closed,0,0
94,95,101,5,Bug,Medium,2024-01-17 23:31:09,2024-01-18 00:10:09,2024-01-18 07:52:09.000000,Closed,0,0
95,96,111,4,Bug,Medium,2024-01-25 00:44:49,2024-01-25 00:53:49,2024-01-25 07:18:25.000000,Closed,0,0
96,97,96,12,Technical,High,2024-03-19 14:55:40,2024-03-19 15:09:40,2024-03-19 17:21:40.000000,Closed,0,0
97,98,49,19,Billing,Low,2024-10-20 13:57:01,2024-10-20 14:17:01,2024-10-20 18:33:12.999999,Closed,0,0
98,99,14,20,Technical,Medium,2024-04-14 01:01:33,2024-04-14 01:14:33,2024-04-14 03:39:45.000000,Closed,0,0
99,100,142,15,Billing,Medium,2024-01-28 00:48:06,2024-01-28 01:04:06,2024-01-28 07:28:06.000000,Closed,0,0
100,101,15,20,Technical,High,2024-07-24 08:41:04,2024-07-24 08:48:04,2024-07-24 10:28:52.000000,Closed,0,0
101,102,139,17,Technical,Low,2024-08-11 14:23:13,2024-08-11 14:33:13,2024-08-11 23:04:25.000000,Closed,0,0
102,103,116,19,Account,Urgent,2024-01-21 09:10:58,2024-01-21 09:19:58,2024-01-21 10:37:22.000000,Closed,0,0
103,104,14,5,Account,High,2024-06-02 07:20:11,2024-06-02 07:25:11,2024-06-02 10:01:11.000000,Closed,0,1
104,105,137,15,Billing,Urgent,2024-08-01 11:34:15,2024-08-01 12:03:15,2024-08-01 13:50:39.000000,Closed,1,0
105,106,15,20,Account,Medium,2024-06-13 04:44:46,2024-06-13 04:58:46,2024-06-13 09:34:46.000000,Closed,0,0
106,107,94,12,Feature,Medium,2024-05-12 12:57:36,2024-05-12 13:17:36,2024-05-12 15:32:00.000000,Closed,0,0
107,108,111,10,Account,High,2024-07-24 02:30:45,2024-07-24 02:36:45,2024-07-24 05:00:09.000000,Closed,0,0
108,109,23,13,Billing,Low,2024-02-10 21:54:46,2024-02-10 22:19:46,2024-02-11 05:18:34.000000,Closed,0,1
109,110,35,8,Billing,Medium,2024-03-16 05:26:14,2024-03-16 05:38:14,2024-03-16 11:00:26.000000,Closed,0,0
110,111,8,15,Billing,Low,2024-03-15 06:33:46,2024-03-15 07:00:46,2024-03-15 09:29:34.000000,Closed,0,0
111,112,24,6,Technical,Medium,2024-09-04 22:32:28,2024-09-04 23:11:28,2024-09-05 05:42:40.000000,Closed,0,0
112,113,20,3,Account,High,2024-12-23 16:29:01,2024-12-23 16:43:01,2024-12-23 18:16:37.000000,Open,0,0
113,114,47,17,Technical,Medium,2024-10-01 17:34:05,2024-10-01 17:53:05,2024-10-02 01:09:53.000000,Closed,0,0
114,115,76,20,Feature,Medium,2024-07-28 14:39:03,2024-07-28 14:51:03,2024-07-29 02:57:03.000000,Closed,0,0
115,116,12,18,Technical,Medium,2024-04-17 19:27:42,2024-04-17 19:39:42,2024-04-17 21:09:06.000000,Closed,0,0
116,117,90,12,Technical,Medium,2024-11-07 19:53:01,2024-11-07 20:06:01,2024-11-08 02:03:01.000000,Open,0,0
117,118,140,15,Account,Low,2024-01-26 12:44:09,2024-01-26 13:15:09,2024-01-26 18:10:21.000000,Closed,0,0
118,119,36,9,Technical,Medium,2024-02-02 09:54:15,2024-02-02 10:05:15,2024-02-02 17:29:15.000000,Closed,0,0
119,120,8,11,Bug,High,2024-09-17 03:32:35,2024-09-17 03:41:35,2024-09-17 06:15:11.000000,Closed,0,0
120,121,51,17,Technical,Medium,2024-11-20 11:06:11,2024-11-20 11:27:11,2024-11-20 13:46:23.000000,Open,0,0
121,122,29,1,Billing,Medium,2024-08-16 15:54:02,2024-08-16 15:58:02,2024-08-16 21:21:26.000000,Closed,0,0
122,123,3,8,Feature,Low,2024-10-14 13:02:36,2024-10-14 13:53:36,2024-10-14 21:06:12.000000,Closed,0,0
123,124,101,10,Account,Medium,2024-08-03 18:48:15,2024-08-03 19:02:15,2024-08-04 00:28:03.000000,Closed,0,1
124,125,37,13,Billing,Medium,2024-12-05 23:02:21,2024-12-05 23:21:21,2024-12-06 07:29:45.000000,Open,0,0
125,126,121,3,Technical,Medium,2024-11-09 02:16:47,2024-11-09 02:31:47,2024-11-09 05:16:47.000000,Open,0,0
126,127,93,1,Bug,High,2024-06-22 18:26:41,2024-06-22 18:34:41,2024-06-22 20:32:17.000000,Closed,1,0
127,128,34,4,Technical,Medium,2024-06-12 17:47:46,2024-06-12 18:09:46,2024-06-13 00:06:46.000000,Closed,0,2
128,129,14,9,Technical,Urgent,2024-11-30 04:54:46,2024-11-30 05:07:46,2024-11-30 06:38:58.000000,Open,1,0
129,130,50,10,Feature,Low,2024-11-24 00:41:04,2024-11-24 01:40:04,2024-11-24 08:54:28.000000,Open,0,0
130,131,111,10,Account,Urgent,2024-08-14 13:57:59,2024-08-14 13:59:59,2024-08-14 15:27:35.000000,Closed,0,0
131,132,75,20,Technical,Low,2024-11-04 17:42:34,2024-11-04 18:06:34,2024-11-04 22:26:58.000000,Open,0,0
132,133,36,14,Technical,Medium,2024-12-22 03:40:50,2024-12-22 03:54:50,2024-12-22 08:21:50.000000,Open,0,0
133,134,29,10,Technical,Low,2024-08-05 13:55:54,2024-08-05 14:22:54,2024-08-05 18:30:42.000000,Closed,0,0
134,135,60,15,Account,Medium,2024-02-09 05:03:55,2024-02-09 05:16:55,2024-02-09 12:40:19.000000,Closed,0,0
135,136,91,7,Technical,High,2024-03-07 07:29:07,2024-03-07 07:48:07,2024-03-07 10:33:43.000000,Closed,0,0
136,137,38,20,Feature,Low,2024-08-25 14:48:57,2024-08-25 15:00:57,2024-08-25 23:44:09.000000,Closed,0,0
137,138,136,11,Technical,Medium,2024-11-11 11:24:53,2024-11-11 11:39:53,2024-11-11 17:25:29.000000,Open,0,0
138,139,65,4,Account,Medium,2024-10-10 21:52:18,2024-10-10 22:07:18,2024-10-11 03:21:06.000000,Closed,0,0
139,140,14,6,Technical,Medium,2024-12-15 10:15:14,2024-12-15 10:37:14,2024-12-15 18:10:14.000000,Open,0,0
140,141,45,3,Bug,Low,2024-01-24 06:10:54,2024-01-24 06:31:54,2024-01-24 11:09:42.000000,Closed,0,0
141,142,60,17,Feature,Medium,2024-04-19 07:12:57,2024-04-19 07:29:57,2024-04-19 14:37:45.000000,Closed,0,0
142,143,85,8,Account,Low,2024-05-25 22:18:50,2024-05-25 22:41:50,2024-05-26 03:01:38.000000,Closed,0,0
143,144,126,15,Technical,Low,2024-12-30 21:02:55,2024-12-30 21:18:55,2024-12-31 01:40:31.000000,Open,0,0
144,145,135,1,Account,Medium,2024-04-18 17:16:08,2024-04-18 17:25:08,2024-04-18 21:23:20.000000,Closed,0,0
145,146,87,19,Technical,High,2024-04-01 07:17:34,2024-04-01 07:22:34,2024-04-01 08:53:10.000000,Closed,0,0
146,147,106,4,Feature,High,2024-07-26 23:10:00,2024-07-26 23:18:00,2024-07-27 01:04:12.000000,Closed,0,0
147,148,39,5,Technical,Low,2024-02-23 02:30:36,2024-02-23 02:48:36,2024-02-23 07:11:24.000000,Closed,0,0
148,149,108,1,Technical,High,2024-08-07 15:21:07,2024-08-07 15:35:07,2024-08-07 17:39:18.999999,Closed,0,0
149,150,27,10,Technical,Low,2024-07-07 01:37:06,2024-07-07 01:46:06,2024-07-07 06:29:54.000000,Closed,0,0
150,151,33,3,Bug,Medium,2024-05-26 13:29:10,2024-05-26 13:43:10,2024-05-26 14:40:46.000000,Closed,0,2
151,152,45,10,Technical,Medium,2024-11-20 10:42:20,2024-11-20 10:56:20,2024-11-20 14:11:20.000000,Open,0,0
152,153,43,7,Bug,Medium,2024-12-14 09:42:31,2024-12-14 10:00:31,2024-12-14 14:54:31.000000,Open,0,0
153,154,120,5,Billing,Medium,2024-04-26 17:19:15,2024-04-26 17:27:15,2024-04-26 21:51:51.000000,Closed,0,0
154,155,81,2,Technical,Medium,2024-05-07 20:00:21,2024-05-07 20:11:21,2024-05-08 04:20:21.000000,Closed,0,0
155,156,137,12,Billing,Low,2024-09-11 13:02:23,2024-09-11 13:32:23,2024-09-11 18:15:35.000000,Closed,0,0
156,157,136,17,Feature,Medium,2024-12-01 08:08:01,2024-12-01 08:13:01,2024-12-01 13:06:25.000000,Open,0,0
157,158,4,15,Billing,Urgent,2024-09-10 19:34:54,2024-09-10 19:41:54,2024-09-10 22:48:30.000000,Closed,0,0
158,159,111,12,Feature,High,2024-09-08 05:29:06,2024-09-08 05:36:06,2024-09-08 07:43:54.000000,Closed,0,0
159,160,113,13,Technical,Medium,2024-01-23 01:57:27,2024-01-23 02:17:27,2024-01-23 06:11:27.000000,Closed,0,0
160,161,96,10,Technical,Medium,2024-03-14 01:32:48,2024-03-14 01:44:48,2024-03-14 07:07:36.000000,Closed,0,0
161,162,80,9,Technical,Medium,2024-05-09 08:26:54,2024-05-09 08:33:54,2024-05-09 11:23:42.000000,Closed,0,0
162,163,49,8,Technical,Urgent,2024-05-06 04:26:27,2024-05-06 04:32:27,2024-05-06 05:41:27.000000,Closed,0,0
163,164,76,17,Bug,Medium,2024-07-22 07:50:03,2024-07-22 08:10:03,2024-07-22 12:28:03.000000,Closed,0,0
164,165,56,9,Feature,Low,2024-03-24 11:44:09,2024-03-24 11:58:09,2024-03-24 12:29:57.000000,Closed,0,0
165,166,1,2,Technical,Medium,2024-08-21 03:28:04,2024-08-21 03:44:04,2024-08-21 09:44:04.000000,Closed,0,0
166,167,118,9,Account,Medium,2024-01-11 06:53:55,2024-01-11 07:35:55,2024-01-11 11:35:19.000000,Closed,0,0
167,168,78,1,Bug,High,2024-11-17 18:47:34,2024-11-17 19:01:34,2024-11-17 20:42:58.000000,Open,1,0
168,169,9,18,Billing,Low,2024-04-23 06:27:18,2024-04-23 06:51:18,2024-04-23 10:39:54.000000,Closed,0,0
169,170,33,2,Billing,High,2024-06-06 10:22:37,2024-06-06 10:36:37,2024-06-06 13:04:49.000000,Closed,0,0
170,171,48,18,Account,Low,2024-04-11 11:42:44,2024-04-11 12:11:44,2024-04-11 15:45:56.000000,Closed,0,0
171,172,54,19,Account,Low,2024-01-10 05:32:42,2024-01-10 05:48:42,2024-01-10 11:25:18.000000,Closed,0,0
172,173,63,18,Account,High,2024-09-02 05:53:40,2024-09-02 05:58:40,2024-09-02 07:39:28.000000,Closed,0,0
173,174,125,14,Technical,Low,2024-12-31 22:22:40,2024-12-31 22:40:40,2025-01-01 02:16:40.000000,Open,0,0
174,175,71,3,Technical,Urgent,2024-02-17 21:04:43,2024-02-17 21:09:43,2024-02-17 23:39:07.000000,Closed,1,0
175,176,109,17,Technical,Medium,2024-10-22 09:23:56,2024-10-22 09:42:56,2024-10-22 15:20:44.000000,Closed,0,0
176,177,28,14,Technical,Medium,2024-01-18 07:44:31,2024-01-18 07:53:31,2024-01-18 11:03:43.000000,Closed,0,0
177,178,85,9,Feature,Low,2024-03-25 09:51:09,2024-03-25 10:24:09,2024-03-25 15:37:21.000000,Closed,0,1
178,179,13,5,Billing,High,2024-03-29 19:12:13,2024-03-29 19:22:13,2024-03-29 21:54:37.000000,Closed,0,0
179,180,63,8,Technical,Medium,2024-03-21 04:00:49,2024-03-21 04:03:49,2024-03-21 08:01:25.000000,Closed,0,0
180,181,32,7,Billing,Medium,2024-05-06 17:22:12,2024-05-06 17:32:12,2024-05-06 21:24:24.000000,Closed,0,0
181,182,7,8,Technical,Low,2024-08-04 21:42:31,2024-08-04 22:10:31,2024-08-05 01:46:31.000000,Closed,1,0
182,183,91,4,Bug,Medium,2024-02-12 23:10:48,2024-02-12 23:23:48,2024-02-13 04:55:36.000000,Closed,0,0
183,184,52,1,Technical,High,2024-08-11 02:24:37,2024-08-11 02:28:37,2024-08-11 04:28:37.000000,Closed,1,0
184,185,42,10,Technical,Medium,2024-07-12 20:43:38,2024-07-12 20:54:38,2024-07-12 23:37:50.000000,Closed,0,0
185,186,136,11,Billing,High,2024-10-19 02:37:29,2024-10-19 02:42:29,2024-10-19 04:23:17.000000,Closed,0,0
186,187,43,11,Account,Medium,2024-06-05 04:11:25,2024-06-05 04:32:25,2024-06-05 07:12:37.000000,Closed,0,1
187,188,110,20,Feature,Low,2024-05-06 08:25:15,2024-05-06 08:43:15,2024-05-06 14:10:15.000000,Closed,0,0
188,189,77,11,Feature,Low,2024-01-03 06:20:34,2024-01-03 06:35:34,2024-01-03 14:24:10.000000,Closed,1,0
189,190,58,16,Account,High,2024-09-24 03:33:28,2024-09-24 03:43:28,2024-09-24 06:03:16.000000,Closed,0,0
190,191,35,13,Technical,Medium,2024-03-28 09:10:02,2024-03-28 09:26:02,2024-03-28 15:44:38.000000,Closed,0,0
191,192,71,18,Bug,Low,2024-02-21 10:09:44,2024-02-21 10:22:44,2024-02-21 10:52:44.000000,Closed,0,0
192,193,12,4,Feature,Low,2024-11-08 23:06:52,2024-11-08 23:27:52,2024-11-09 02:44:40.000000,Open,0,0
193,194,52,12,Account,Medium,2024-08-12 10:36:36,2024-08-12 10:59:36,2024-08-12 17:56:00.000000,Closed,0,0
194,195,56,4,Feature,Medium,2024-08-27 04:21:42,2024-08-27 04:47:42,2024-08-27 07:30:18.000000,Closed,0,0
195,196,65,15,Feature,Low,2024-11-01 18:53:56,2024-11-01 19:05:56,2024-11-02 00:02:20.000000,Open,0,0
196,197,18,4,Billing,Medium,2024-02-13 22:30:25,2024-02-13 22:40:25,2024-02-14 02:12:13.000000,Closed,0,2
197,198,121,13,Bug,Medium,2024-03-18 13:04:02,2024-03-18 13:36:02,2024-03-18 20:07:50.000000,Closed,0,0
198,199,137,15,Billing,Medium,2024-02-01 05:04:13,2024-02-01 05:14:13,2024-02-01 08:28:37.000000,Closed,0,0
199,200,97,18,Bug,Medium,2024-02-29 03:33:24,2024-02-29 03:49:24,2024-02-29 08:42:48.000000,Closed,0,0
200,201,41,6,Bug,High,2024-02-10 10:03:43,2024-02-10 10:08:43,2024-02-10 11:18:19.000000,Closed,0,0
201,202,14,12,Technical,Urgent,2024-02-01 15:27:29,2024-02-01 15:30:29,2024-02-01 16:48:29.000000,Closed,0,0
202,203,55,19,Bug,Medium,2024-02-02 10:15:44,2024-02-02 10:32:44,2024-02-02 18:01:32.000000,Closed,0,0
203,204,16,6,Bug,Low,2024-11-05 04:42:01,2024-11-05 04:59:01,2024-11-05 06:37:25.000000,Open,0,0
204,205,121,9,Technical,Medium,2024-04-23 16:07:25,2024-04-23 16:13:25,2024-04-23 16:43:25.000000,Closed,0,0
205,206,110,10,Billing,Low,2024-03-20 11:54:24,2024-03-20 12:08:24,2024-03-20 16:49:12.000000,Closed,0,0
206,207,142,10,Technical,Medium,2024-10-11 06:21:43,2024-10-11 06:33:43,2024-10-11 10:20:31.000000,Closed,0,0
207,208,48,4,Billing,Medium,2024-09-12 23:54:42,2024-09-13 00:05:42,2024-09-13 05:13:30.000000,Closed,0,0
208,209,119,3,Billing,Medium,2024-04-25 18:29:38,2024-04-25 18:47:38,2024-04-25 22:24:50.000000,Closed,0,0
209,210,31,6,Account,High,2024-01-28 01:23:22,2024-01-28 01:40:22,2024-01-28 03:13:22.000000,Closed,0,0
210,211,50,11,Bug,Medium,2024-11-02 18:27:49,2024-11-02 18:58:49,2024-11-03 01:46:49.000000,Open,1,1
211,212,47,19,Billing,High,2024-03-06 07:40:10,2024-03-06 07:44:10,2024-03-06 08:49:34.000000,Closed,0,0
212,213,103,7,Account,Medium,2024-06-17 03:56:57,2024-06-17 04:14:57,2024-06-17 09:55:45.000000,Closed,0,0
